Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 25-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 15-24 - Variant: estimates,Population by broad age group - Sex: all - Age: 5-14 - Variant: estimates,Population by broad age group - Sex: all - Age: 0-4 - Variant: estimates
Monaco,MCO,1959,4014,12245,2165,2014,1211
Monaco,MCO,1960,4132,12273,2271,2023,1125
Monaco,MCO,1961,4259,12298,2376,2047,952
Monaco,MCO,1962,4393,12296,2473,2053,921
Monaco,MCO,1963,4527,12270,2550,2062,1060
Monaco,MCO,1964,4664,12250,2607,2082,1189
Monaco,MCO,1965,4793,12248,2644,2106,1255
Monaco,MCO,1966,4921,12262,2666,2150,1223
Monaco,MCO,1967,5039,12299,2681,2204,1078
Monaco,MCO,1968,5142,12380,2703,2239,1043
Monaco,MCO,1969,5226,12503,2736,2261,1176
Monaco,MCO,1970,5324,12645,2778,2262,1285
Monaco,MCO,1971,5444,12799,2796,2260,1338
Monaco,MCO,1972,5573,12939,2784,2315,1299
Monaco,MCO,1973,5711,13080,2777,2402,1158
Monaco,MCO,1974,5851,13221,2765,2462,985
Monaco,MCO,1975,5952,13371,2764,2506,956
Monaco,MCO,1976,5992,13540,2813,2520,1065
Monaco,MCO,1977,6006,13716,2881,2514,1153
Monaco,MCO,1978,6019,13922,2934,2504,1202
Monaco,MCO,1979,6031,14151,2988,2502,1189
Monaco,MCO,1980,6057,14416,3010,2508,1111
Monaco,MCO,1981,6095,14689,3030,2485,1011
Monaco,MCO,1982,6134,14911,3121,2405,1029
Monaco,MCO,1983,6159,15121,3204,2347,1176
Monaco,MCO,1984,6197,15346,3233,2353,1304
Monaco,MCO,1985,6245,15563,3251,2383,1391
Monaco,MCO,1986,6307,15797,3237,2426,1432
Monaco,MCO,1987,6379,16027,3208,2497,1413
Monaco,MCO,1988,6461,16244,3193,2580,1348
Monaco,MCO,1989,6548,16470,3201,2611,1274
Monaco,MCO,1990,6624,16666,3217,2601,1243
Monaco,MCO,1991,6661,16819,3210,2594,1309
Monaco,MCO,1992,6680,16989,3146,2583,1420
Monaco,MCO,1993,6712,17183,3064,2585,1509
Monaco,MCO,1994,6757,17347,3003,2598,1575
Monaco,MCO,1995,6811,17515,2928,2645,1606
Monaco,MCO,1996,6872,17700,2853,2723,1592
Monaco,MCO,1997,6958,17863,2803,2798,1572
Monaco,MCO,1998,7049,18004,2774,2849,1558
Monaco,MCO,1999,7146,18166,2723,2887,1496
Monaco,MCO,2000,7225,18235,2696,2921,1417
Monaco,MCO,2001,7252,18135,2710,2946,1423
Monaco,MCO,2002,7267,17991,2714,2963,1471
Monaco,MCO,2003,7307,17851,2714,2971,1503
Monaco,MCO,2004,7367,17696,2719,2944,1532
Monaco,MCO,2005,7432,17552,2729,2924,1525
Monaco,MCO,2006,7505,17405,2740,2928,1448
Monaco,MCO,2007,7566,17264,2747,2940,1324
Monaco,MCO,2008,7792,17138,2769,2943,1247
Monaco,MCO,2009,8353,17031,2817,2944,1283
Monaco,MCO,2010,9090,16939,2865,2939,1370
Monaco,MCO,2011,9841,16856,2903,2920,1451
Monaco,MCO,2012,10588,16779,2943,2890,1523
Monaco,MCO,2013,11311,16711,2992,2867,1568
Monaco,MCO,2014,11997,16653,3045,2858,1580
Monaco,MCO,2015,12651,16583,3099,2856,1592
Monaco,MCO,2016,12998,16483,3134,2854,1621
Monaco,MCO,2017,13048,16357,3151,2863,1650
Monaco,MCO,2018,13106,16227,3159,2892,1666
Monaco,MCO,2019,13203,16095,3148,2940,1673
Monaco,MCO,2020,13246,15914,3123,2995,1665
Monaco,MCO,2021,13208,15719,3086,3054,1646
Mongolia,MNG,1950,30259,358478,135758,158223,98546
Mongolia,MNG,1951,30482,360284,137745,159938,104609
Mongolia,MNG,1952,30659,362397,139814,161610,110555
Mongolia,MNG,1953,30870,364767,141870,163359,116658
Mongolia,MNG,1954,31212,367243,143800,164904,123545
Mongolia,MNG,1955,31725,369797,145542,168646,129290
Mongolia,MNG,1956,33632,374879,147314,173976,134583
Mongolia,MNG,1957,37141,382235,148930,178348,142310
Mongolia,MNG,1958,41274,389422,149946,183060,152002
Mongolia,MNG,1959,46039,396739,150350,189128,163188
Mongolia,MNG,1960,51254,404118,150269,197701,174564
Mongolia,MNG,1961,56780,411308,150000,209744,183672
Mongolia,MNG,1962,62695,418134,149831,225227,189429
Mongolia,MNG,1963,65944,422751,150760,241798,194633
Mongolia,MNG,1964,66480,425502,152603,258169,201267
Mongolia,MNG,1965,67493,428696,154394,274869,208620
Mongolia,MNG,1966,68931,432304,156722,291736,216060
Mongolia,MNG,1967,70585,435905,160371,309376,221965
Mongolia,MNG,1968,72363,439237,166092,328527,224192
Mongolia,MNG,1969,73327,442308,175200,346879,224175
Mongolia,MNG,1970,73431,445383,187075,362717,225279
Mongolia,MNG,1971,73623,448870,199904,376884,228503
Mongolia,MNG,1972,74045,453070,213635,389184,233908
Mongolia,MNG,1973,74709,458223,228427,399396,241561
Mongolia,MNG,1974,75610,464552,244173,408746,250053
Mongolia,MNG,1975,76704,472081,260958,418092,257861
Mongolia,MNG,1976,77834,480760,278583,427268,264648
Mongolia,MNG,1977,78807,490545,296873,436426,269871
Mongolia,MNG,1978,79592,501458,315690,446255,272867
Mongolia,MNG,1979,80425,512481,334336,455906,274309
Mongolia,MNG,1980,81205,524012,351605,464797,276168
Mongolia,MNG,1981,81727,537732,366706,473492,279568
Mongolia,MNG,1982,82010,553920,379661,481854,284363
Mongolia,MNG,1983,82152,572688,390564,490148,290230
Mongolia,MNG,1984,82467,593652,399809,498705,297021
Mongolia,MNG,1985,82965,616350,407859,507700,304881
Mongolia,MNG,1986,83352,640577,414935,517117,313935
Mongolia,MNG,1987,83506,666058,421633,526918,323392
Mongolia,MNG,1988,83428,692388,428799,537324,331839
Mongolia,MNG,1989,83192,716896,436822,546963,336962
Mongolia,MNG,1990,82890,739105,445504,556155,337786
Mongolia,MNG,1991,82522,761210,454405,566745,335195
Mongolia,MNG,1992,81990,783712,463162,578105,329534
Mongolia,MNG,1993,81385,806783,471649,589542,320954
Mongolia,MNG,1994,81049,830168,479885,600643,309769
Mongolia,MNG,1995,81229,853554,487703,610842,297011
Mongolia,MNG,1996,81727,876923,494826,619213,284349
Mongolia,MNG,1997,82207,900815,501225,624178,273352
Mongolia,MNG,1998,82647,926075,507367,624594,264473
Mongolia,MNG,1999,83044,952801,514342,620148,258165
Mongolia,MNG,2000,83936,981208,522988,609988,252868
Mongolia,MNG,2001,85396,1010342,533315,595584,247975
Mongolia,MNG,2002,86903,1038986,544673,579200,244860
Mongolia,MNG,2003,88544,1067536,556299,561136,242946
Mongolia,MNG,2004,90648,1095797,567510,542682,241318
Mongolia,MNG,2005,93390,1123314,577375,524528,240651
Mongolia,MNG,2006,96174,1150491,584310,508256,242014
Mongolia,MNG,2007,98492,1178304,586754,495553,246544
Mongolia,MNG,2008,100290,1207515,584546,485341,256204
Mongolia,MNG,2009,101689,1238323,578401,476567,271738
Mongolia,MNG,2010,102902,1271047,569434,469319,289825
Mongolia,MNG,2011,104235,1308587,559572,465875,305677
Mongolia,MNG,2012,105866,1350288,548411,468839,318950
Mongolia,MNG,2013,107949,1392830,534853,478642,330886
Mongolia,MNG,2014,110438,1436235,519592,494239,342322
Mongolia,MNG,2015,113820,1478816,503846,512634,355640
Mongolia,MNG,2016,117544,1519327,488772,533275,370641
Mongolia,MNG,2017,121677,1556068,475504,559449,383335
Mongolia,MNG,2018,127002,1585661,467108,592813,391410
Mongolia,MNG,2019,133281,1611887,461033,632366,393868
Mongolia,MNG,2020,140351,1637946,455201,671821,389021
Mongolia,MNG,2021,147932,1660648,453477,705736,379989
Montenegro,MNE,1950,31564,145632,82674,93594,48802
Montenegro,MNE,1951,31235,148780,85331,92288,52003
Montenegro,MNE,1952,31062,152231,87682,91136,56710
Montenegro,MNE,1953,31028,155940,89412,90273,61181
Montenegro,MNE,1954,31024,159839,90430,90052,63628
Montenegro,MNE,1955,31009,163908,91020,90978,64471
Montenegro,MNE,1956,30994,168010,91124,93221,64338
Montenegro,MNE,1957,31014,172022,90605,96638,63691
Montenegro,MNE,1958,31121,175885,89486,100631,63204
Montenegro,MNE,1959,31332,179640,87978,104668,63120
Montenegro,MNE,1960,31712,183373,86421,108507,63042
Montenegro,MNE,1961,32300,187424,85006,111808,62804
Montenegro,MNE,1962,33016,191891,83878,114422,62342
Montenegro,MNE,1963,33824,196414,83328,116378,61629
Montenegro,MNE,1964,34642,200699,83591,117704,60813
Montenegro,MNE,1965,35405,204492,84847,118401,60057
Montenegro,MNE,1966,36098,207600,87239,118636,59338
Montenegro,MNE,1967,36669,210020,90695,118524,58603
Montenegro,MNE,1968,37139,211950,94922,118052,57909
Montenegro,MNE,1969,37591,213668,99470,117295,57242
Montenegro,MNE,1970,38085,215458,103871,116365,56492
Montenegro,MNE,1971,38764,218203,107313,115605,55603
Montenegro,MNE,1972,39714,222263,109439,115139,54720
Montenegro,MNE,1973,40827,227017,110689,114680,54008
Montenegro,MNE,1974,42039,232175,111423,114057,53539
Montenegro,MNE,1975,43333,237534,111897,113163,53356
Montenegro,MNE,1976,44711,242867,112331,112012,53427
Montenegro,MNE,1977,46170,248007,112844,110733,53663
Montenegro,MNE,1978,47603,252885,113463,109428,54039
Montenegro,MNE,1979,48883,257566,114124,108189,54579
Montenegro,MNE,1980,49946,262239,114717,107150,55282
Montenegro,MNE,1981,50563,267044,114559,106406,55502
Montenegro,MNE,1982,50610,272022,113369,106023,54952
Montenegro,MNE,1983,50315,277112,111728,105997,54185
Montenegro,MNE,1984,50089,282121,109985,106202,53429
Montenegro,MNE,1985,50130,286955,108278,106506,52753
Montenegro,MNE,1986,50341,291557,106718,106624,52393
Montenegro,MNE,1987,50661,295900,105395,106503,52361
Montenegro,MNE,1988,51106,300024,104369,106367,52411
Montenegro,MNE,1989,51589,303865,103647,106305,52460
Montenegro,MNE,1990,52155,307279,103216,106319,52481
Montenegro,MNE,1991,53086,310219,102948,106384,52324
Montenegro,MNE,1992,54467,313088,102415,106248,51451
Montenegro,MNE,1993,56337,315636,101689,105860,50038
Montenegro,MNE,1994,58357,317403,101186,105317,48710
Montenegro,MNE,1995,60383,318702,100894,104566,47521
Montenegro,MNE,1996,62360,319816,100794,103561,46483
Montenegro,MNE,1997,64081,320877,100881,102101,45670
Montenegro,MNE,1998,65745,321689,101234,100247,44997
Montenegro,MNE,1999,67346,322140,101694,98278,44270
Montenegro,MNE,2000,69097,322344,102056,96353,43480
Montenegro,MNE,2001,71140,322449,102184,94534,42755
Montenegro,MNE,2002,73260,322473,102103,92666,42243
Montenegro,MNE,2003,75403,322408,101784,90752,42009
Montenegro,MNE,2004,77640,323095,100712,89131,41972
Montenegro,MNE,2005,79630,324618,98995,87910,41732
Montenegro,MNE,2006,80914,326518,97137,86957,41025
Montenegro,MNE,2007,81572,328944,95206,86121,40088
Montenegro,MNE,2008,82009,331670,93178,85283,39335
Montenegro,MNE,2009,82203,334366,91298,84234,39086
Montenegro,MNE,2010,82035,337091,89907,82607,39408
Montenegro,MNE,2011,82342,339686,89108,80918,39747
Montenegro,MNE,2012,83511,341616,88359,79846,39721
Montenegro,MNE,2013,84995,342717,87510,79267,39462
Montenegro,MNE,2014,86932,342618,86662,79055,39034
Montenegro,MNE,2015,89283,341484,85763,78897,38542
Montenegro,MNE,2016,91392,340293,84900,78268,38411
Montenegro,MNE,2017,93466,339222,83816,77457,38484
Montenegro,MNE,2018,95814,337797,82572,76984,38292
Montenegro,MNE,2019,98289,336023,81243,76901,37947
Montenegro,MNE,2020,100440,334442,79650,77060,37466
Montenegro,MNE,2021,102087,333342,78273,77349,36805
Montserrat,MSR,1950,1030,4319,1983,3443,2236
Montserrat,MSR,1951,999,4357,1953,3523,2165
Montserrat,MSR,1952,977,4377,1929,3600,2077
Montserrat,MSR,1953,942,4402,2007,3738,1985
Montserrat,MSR,1954,887,4458,2199,3879,1959
Montserrat,MSR,1955,861,4464,2282,3856,1989
Montserrat,MSR,1956,880,4402,2228,3728,1993
Montserrat,MSR,1957,899,4308,2173,3614,1967
Montserrat,MSR,1958,931,4180,2126,3509,1909
Montserrat,MSR,1959,977,4027,2086,3425,1830
Montserrat,MSR,1960,1005,3924,2082,3353,1764
Montserrat,MSR,1961,1006,3903,2119,3270,1720
Montserrat,MSR,1962,1001,3919,2153,3187,1689
Montserrat,MSR,1963,1012,3932,2167,3100,1678
Montserrat,MSR,1964,1016,3939,2170,3025,1669
Montserrat,MSR,1965,1032,3932,2157,2977,1651
Montserrat,MSR,1966,1056,3909,2131,2947,1634
Montserrat,MSR,1967,1087,3866,2106,2933,1620
Montserrat,MSR,1968,1127,3807,2070,2938,1603
Montserrat,MSR,1969,1175,3729,2027,2960,1581
Montserrat,MSR,1970,1210,3669,2024,2979,1541
Montserrat,MSR,1971,1228,3679,2068,2975,1481
Montserrat,MSR,1972,1244,3727,2111,2960,1422
Montserrat,MSR,1973,1266,3781,2145,2933,1371
Montserrat,MSR,1974,1297,3834,2174,2898,1329
Montserrat,MSR,1975,1324,3881,2202,2856,1290
Montserrat,MSR,1976,1355,3933,2224,2811,1254
Montserrat,MSR,1977,1381,3985,2236,2769,1205
Montserrat,MSR,1978,1410,4035,2248,2723,1151
Montserrat,MSR,1979,1442,4085,2261,2673,1080
Montserrat,MSR,1980,1451,4130,2278,2604,1009
Montserrat,MSR,1981,1435,4187,2302,2499,969
Montserrat,MSR,1982,1414,4254,2322,2372,959
Montserrat,MSR,1983,1396,4316,2329,2250,966
Montserrat,MSR,1984,1381,4372,2318,2127,994
Montserrat,MSR,1985,1362,4433,2295,2010,1033
Montserrat,MSR,1986,1364,4493,2255,1927,1059
Montserrat,MSR,1987,1365,4542,2198,1869,1071
Montserrat,MSR,1988,1377,4584,2119,1838,1068
Montserrat,MSR,1989,1392,4618,2031,1834,1043
Montserrat,MSR,1990,1402,4646,1935,1858,987
Montserrat,MSR,1991,1396,4623,1806,1864,904
Montserrat,MSR,1992,1360,4514,1654,1803,800
Montserrat,MSR,1993,1303,4363,1509,1701,695
Montserrat,MSR,1994,1237,4191,1370,1581,603
Montserrat,MSR,1995,1163,4000,1236,1441,525
Montserrat,MSR,1996,1088,3794,1108,1292,455
Montserrat,MSR,1997,1007,3564,986,1141,394
Montserrat,MSR,1998,913,3318,867,985,352
Montserrat,MSR,1999,822,3059,750,831,328
Montserrat,MSR,2000,737,2780,635,695,319
Montserrat,MSR,2001,668,2575,558,613,313
Montserrat,MSR,2002,646,2532,544,599,306
Montserrat,MSR,2003,642,2549,558,607,296
Montserrat,MSR,2004,638,2557,582,618,287
Montserrat,MSR,2005,638,2573,597,632,277
Montserrat,MSR,2006,633,2597,606,647,273
Montserrat,MSR,2007,626,2622,611,656,278
Montserrat,MSR,2008,627,2644,609,669,287
Montserrat,MSR,2009,641,2670,611,677,297
Montserrat,MSR,2010,646,2706,622,679,307
Montserrat,MSR,2011,656,2724,635,672,302
Montserrat,MSR,2012,666,2729,646,669,289
Montserrat,MSR,2013,676,2753,655,670,281
Montserrat,MSR,2014,688,2772,669,674,272
Montserrat,MSR,2015,700,2775,681,673,254
Montserrat,MSR,2016,723,2774,697,665,249
Montserrat,MSR,2017,707,2579,676,570,191
Montserrat,MSR,2018,696,2401,663,478,143
Montserrat,MSR,2019,735,2456,681,476,180
Montserrat,MSR,2020,757,2460,669,447,193
Montserrat,MSR,2021,766,2429,648,399,196
More developed regions,,1950,61794748,384222370,138444380,140127310,81664090
More developed regions,,1951,63019504,389427740,138779330,139260420,84877780
More developed regions,,1952,64312132,395032770,139140220,139759650,86412800
More developed regions,,1953,65759156,401077570,139098430,141127550,87341710
More developed regions,,1954,67250030,407095580,138955740,143829710,87330650
More developed regions,,1955,68774560,412925200,138663280,147076350,87247230
More developed regions,,1956,70288020,418308000,138385650,150427280,87506344
More developed regions,,1957,71745144,423092480,138205340,154432240,87626050
More developed regions,,1958,73429250,427948800,138302510,158261840,87873510
More developed regions,,1959,75327690,432582700,138322290,162356960,87998500
More developed regions,,1960,77183450,436826400,137797660,166820590,88311440
More developed regions,,1961,79153176,441589600,137958380,170060020,88685070
More developed regions,,1962,81042640,446774560,139728050,171338260,88878510
More developed regions,,1963,82902600,451970660,142079520,171992850,88801230
More developed regions,,1964,84966040,457050750,144455630,172767280,88438770
More developed regions,,1965,87244264,461761730,146579860,173990910,87640216
More developed regions,,1966,89591630,466025020,149185520,174915650,86270100
More developed regions,,1967,92053220,469471420,152680480,175472740,84785040
More developed regions,,1968,94478310,472174430,156480740,176195070,83458240
More developed regions,,1969,96736664,474660540,160686830,176590690,82216620
More developed regions,,1970,99096810,476907900,165445980,176284480,81488080
More developed regions,,1971,101601656,480442300,169168430,175341150,81475800
More developed regions,,1972,104271784,485883200,170853800,174263420,81535410
More developed regions,,1973,106992410,491773220,171879890,173114000,81246456
More developed regions,,1974,109801380,497478000,172961010,171830880,80895890
More developed regions,,1975,112694584,502760860,174332740,170521970,80373740
More developed regions,,1976,115572110,508235620,175343700,169261700,79559850
More developed regions,,1977,118584650,513819780,176054800,168010200,78737260
More developed regions,,1978,121556790,519146100,177073120,166526350,78109176
More developed regions,,1979,124215190,524789380,177781220,165060000,77662050
More developed regions,,1980,126067740,531285950,177984380,163891340,77446776
More developed regions,,1981,126859970,538681900,177492590,163073460,77378180
More developed regions,,1982,127068640,546555400,176640980,162226300,77396070
More developed regions,,1983,127181910,554614100,175757390,161202020,77519630
More developed regions,,1984,127921300,562063940,174707120,160324770,77564420
More developed regions,,1985,129590260,568614340,173629970,159512350,77447630
More developed regions,,1986,131777170,574787800,172570190,158614400,77384690
More developed regions,,1987,134167900,580749700,171539710,157816420,77426170
More developed regions,,1988,136956620,586193400,170382930,157418660,77353710
More developed regions,,1989,139936480,591423550,169193230,157165620,77107210
More developed regions,,1990,142910750,596651800,168183140,157035170,76708504
More developed regions,,1991,146177000,601267200,167521800,157161020,75998424
More developed regions,,1992,149644930,605369800,166864210,157499790,74963870
More developed regions,,1993,153035920,609306240,166052380,157882380,73718590
More developed regions,,1994,156347220,612965800,165393920,157978930,72298910
More developed regions,,1995,159535570,616649860,164800160,157732830,70764504
More developed regions,,1996,162383520,620706300,164209390,157246800,69274480
More developed regions,,1997,164905180,625009000,163776130,156469890,68021240
More developed regions,,1998,167103490,629267140,163694350,155163230,67040404
More developed regions,,1999,169030990,633486660,163772210,153434140,66270176
More developed regions,,2000,171219790,637478100,164009570,151422770,65721040
More developed regions,,2001,173966980,640823400,164511800,149069810,65307476
More developed regions,,2002,176992210,643816400,165112560,146505380,65036616
More developed regions,,2003,180038240,646885570,165467420,143977260,65132484
More developed regions,,2004,183191840,650158600,165380530,141605630,65489730
More developed regions,,2005,186450820,653620030,164900430,139473340,65793296
More developed regions,,2006,189554740,657219600,164196020,137705150,66142310
More developed regions,,2007,192210880,661432900,163360200,136394370,66785336
More developed regions,,2008,194541540,666044160,162059890,135638400,67597260
More developed regions,,2009,196854350,670410900,160326510,135285180,68338536
More developed regions,,2010,198945400,674684350,158418720,135112930,68858470
More developed regions,,2011,201936420,677960770,156319310,135192670,69252080
More developed regions,,2012,206518180,679596300,154047180,135672800,69535360
More developed regions,,2013,211660830,680475840,151665020,136514340,69503600
More developed regions,,2014,216877140,681101300,149281810,137474290,69303970
More developed regions,,2015,221725060,681941100,147083330,138289310,69195336
More developed regions,,2016,226674660,682540300,145194450,139123840,69091690
More developed regions,,2017,231665870,682725900,143722740,140122430,68682250
More developed regions,,2018,236299540,682734000,142836670,140973630,67889620
More developed regions,,2019,241216200,682236000,142375330,141654350,66783580
More developed regions,,2020,245874460,680801200,142071870,142107460,65302950
More developed regions,,2021,249849780,678411500,142008020,142134930,63711816
Morocco,MAR,1950,255736,3124060,1960201,2138716,1467500
Morocco,MAR,1951,260985,3219188,1981098,2155151,1572176
Morocco,MAR,1952,264466,3321728,1994603,2178380,1679674
Morocco,MAR,1953,267505,3426728,2001037,2214320,1787117
Morocco,MAR,1954,271798,3529904,2002696,2281992,1877243
Morocco,MAR,1955,277983,3630436,2001645,2382551,1949556
Morocco,MAR,1956,285841,3728115,1999275,2499186,2019278
Morocco,MAR,1957,295437,3822345,1997489,2628096,2088625
Morocco,MAR,1958,306306,3911212,1996702,2768113,2155911
Morocco,MAR,1959,317650,3997449,1999183,2917161,2220995
Morocco,MAR,1960,328758,4079833,2006321,3072273,2282597
Morocco,MAR,1961,340400,4162048,2017063,3221076,2341130
Morocco,MAR,1962,353071,4249913,2033025,3369515,2399242
Morocco,MAR,1963,366576,4335692,2056019,3515983,2452425
Morocco,MAR,1964,381380,4416982,2103092,3643642,2499159
Morocco,MAR,1965,397202,4496829,2179711,3764682,2543460
Morocco,MAR,1966,413743,4576074,2271138,3890180,2587372
Morocco,MAR,1967,430824,4655132,2374374,4019129,2630300
Morocco,MAR,1968,447701,4735372,2489001,4144325,2673678
Morocco,MAR,1969,463326,4818602,2613670,4262533,2718852
Morocco,MAR,1970,477144,4906504,2747890,4376672,2766147
Morocco,MAR,1971,489348,4998268,2889594,4483114,2816981
Morocco,MAR,1972,499872,5095125,3031965,4584637,2869847
Morocco,MAR,1973,508322,5201922,3170820,4683721,2924677
Morocco,MAR,1974,514475,5332746,3296471,4777927,2980766
Morocco,MAR,1975,518577,5488646,3409185,4871662,3037259
Morocco,MAR,1976,520870,5656045,3520209,4967398,3091992
Morocco,MAR,1977,521892,5834365,3637586,5069297,3143340
Morocco,MAR,1978,522568,6024693,3759516,5179878,3193208
Morocco,MAR,1979,524046,6225266,3879396,5293960,3244992
Morocco,MAR,1980,527379,6436288,4001397,5412182,3301200
Morocco,MAR,1981,532743,6657844,4122906,5531152,3363625
Morocco,MAR,1982,540310,6889563,4239697,5645736,3431468
Morocco,MAR,1983,550859,7127586,4351625,5762232,3495081
Morocco,MAR,1984,565440,7368351,4457331,5881866,3544281
Morocco,MAR,1985,584616,7613250,4560094,6002689,3574429
Morocco,MAR,1986,608256,7856917,4655682,6120902,3582690
Morocco,MAR,1987,636214,8099005,4742660,6234654,3567401
Morocco,MAR,1988,668472,8342037,4833189,6343553,3533350
Morocco,MAR,1989,704935,8584674,4928078,6441969,3488447
Morocco,MAR,1990,745221,8830386,5026502,6526589,3442118
Morocco,MAR,1991,789410,9076803,5122293,6594775,3404807
Morocco,MAR,1992,837598,9324224,5214897,6645821,3378135
Morocco,MAR,1993,888450,9575075,5311139,6677028,3355090
Morocco,MAR,1994,939947,9830143,5411798,6685521,3334145
Morocco,MAR,1995,991324,10101183,5518248,6675203,3313096
Morocco,MAR,1996,1042355,10388519,5626687,6660241,3281293
Morocco,MAR,1997,1092055,10683701,5732914,6645707,3242741
Morocco,MAR,1998,1139681,10985265,5831592,6625033,3210257
Morocco,MAR,1999,1184626,11290992,5919192,6597614,3184568
Morocco,MAR,2000,1226410,11602644,5996935,6564757,3163674
Morocco,MAR,2001,1266792,11920024,6069086,6526818,3147379
Morocco,MAR,2002,1308603,12238913,6135726,6489060,3129518
Morocco,MAR,2003,1350765,12555977,6191556,6455625,3107348
Morocco,MAR,2004,1390164,12881757,6249736,6415282,3096185
Morocco,MAR,2005,1428893,13234317,6305746,6363978,3098965
Morocco,MAR,2006,1472673,13603053,6340214,6309284,3107799
Morocco,MAR,2007,1521921,13972702,6356720,6253803,3127489
Morocco,MAR,2008,1571410,14344893,6356896,6204451,3157346
Morocco,MAR,2009,1620249,14718550,6338713,6169314,3196054
Morocco,MAR,2010,1672811,15092793,6305949,6151140,3242173
Morocco,MAR,2011,1732049,15465947,6263736,6148794,3293181
Morocco,MAR,2012,1797417,15832911,6220562,6156055,3345222
Morocco,MAR,2013,1867467,16187550,6181853,6172890,3393766
Morocco,MAR,2014,1945505,16527275,6138126,6208600,3429103
Morocco,MAR,2015,2035034,16853906,6084455,6259418,3447641
Morocco,MAR,2016,2136578,17171594,6032860,6321377,3444864
Morocco,MAR,2017,2249205,17474964,5983138,6395618,3425191
Morocco,MAR,2018,2369350,17754028,5931393,6475415,3397328
Morocco,MAR,2019,2495613,18007840,5889353,6550474,3361130
Morocco,MAR,2020,2623716,18244580,5880879,6618373,3321221
Morocco,MAR,2021,2752911,18466900,5900773,6670701,3285301
Mozambique,MOZ,1950,185453,2312200,971520,1439282,1011766
Mozambique,MOZ,1951,185706,2342383,979878,1471219,1023099
Mozambique,MOZ,1952,185988,2371410,992393,1496747,1035842
Mozambique,MOZ,1953,186422,2399296,1005295,1522512,1046167
Mozambique,MOZ,1954,187082,2427356,1018713,1548483,1055565
Mozambique,MOZ,1955,188046,2456647,1033602,1570355,1070262
Mozambique,MOZ,1956,189384,2485638,1051601,1588373,1089169
Mozambique,MOZ,1957,191109,2512817,1073599,1606251,1109043
Mozambique,MOZ,1958,193193,2536370,1098490,1622856,1129426
Mozambique,MOZ,1959,195590,2559272,1125140,1643856,1151800
Mozambique,MOZ,1960,198229,2586110,1151509,1674824,1177705
Mozambique,MOZ,1961,200892,2618420,1175041,1711847,1211331
Mozambique,MOZ,1962,203433,2655394,1197763,1752883,1250903
Mozambique,MOZ,1963,205938,2694571,1224542,1795002,1289757
Mozambique,MOZ,1964,208383,2735862,1253676,1840339,1325383
Mozambique,MOZ,1965,210901,2780971,1279534,1897416,1355333
Mozambique,MOZ,1966,213708,2828836,1303455,1960910,1382731
Mozambique,MOZ,1967,216912,2878631,1329239,2025131,1409560
Mozambique,MOZ,1968,220609,2930153,1358231,2090606,1435933
Mozambique,MOZ,1969,224867,2982025,1391742,2155693,1463605
Mozambique,MOZ,1970,229805,3035720,1431222,2223764,1491167
Mozambique,MOZ,1971,235579,3092131,1479279,2295563,1520337
Mozambique,MOZ,1972,242211,3152012,1537823,2368575,1559966
Mozambique,MOZ,1973,249632,3218637,1601990,2442807,1610610
Mozambique,MOZ,1974,257813,3291640,1670014,2518832,1665930
Mozambique,MOZ,1975,266794,3367206,1746851,2597277,1725604
Mozambique,MOZ,1976,276567,3445906,1827995,2679946,1788796
Mozambique,MOZ,1977,287037,3532307,1911300,2769788,1863144
Mozambique,MOZ,1978,298229,3627941,1995802,2869177,1949980
Mozambique,MOZ,1979,310115,3729907,2073731,2978187,2035911
Mozambique,MOZ,1980,320460,3810306,2123554,3073499,2085771
Mozambique,MOZ,1981,329879,3882815,2160713,3161158,2105455
Mozambique,MOZ,1982,340023,3969906,2209993,3252869,2129043
Mozambique,MOZ,1983,349835,4057053,2264830,3333719,2157894
Mozambique,MOZ,1984,359059,4140800,2324594,3406918,2194849
Mozambique,MOZ,1985,367519,4218661,2387240,3473392,2233258
Mozambique,MOZ,1986,375436,4285928,2450406,3525181,2272847
Mozambique,MOZ,1987,378265,4291052,2483962,3521394,2290120
Mozambique,MOZ,1988,378773,4277454,2510236,3495598,2294715
Mozambique,MOZ,1989,382930,4312730,2566598,3505857,2319491
Mozambique,MOZ,1990,389058,4377096,2639214,3541761,2356332
Mozambique,MOZ,1991,396404,4458370,2716974,3592986,2396446
Mozambique,MOZ,1992,403653,4542983,2787219,3650024,2433007
Mozambique,MOZ,1993,414498,4676413,2874405,3748337,2492600
Mozambique,MOZ,1994,434345,4920052,3016009,3934865,2607608
Mozambique,MOZ,1995,453287,5161085,3146069,4116210,2718178
Mozambique,MOZ,1996,465861,5341587,3229191,4246390,2796531
Mozambique,MOZ,1997,476697,5502711,3292460,4372566,2877290
Mozambique,MOZ,1998,485637,5643046,3341440,4493904,2959174
Mozambique,MOZ,1999,493436,5785905,3394540,4618667,3045349
Mozambique,MOZ,2000,501172,5930366,3454320,4746294,3136359
Mozambique,MOZ,2001,510826,6076925,3524486,4878322,3230165
Mozambique,MOZ,2002,521770,6224677,3607327,5019425,3321750
